kill,
kills,
killing,
slay,
slain,
destroy,
destroying,
destroys,
behead,
beheading,
beheaded,
stab,
stabbing,
stabs,
stabbed,
infidels,
infidel,
bomb,
bombing,
bombs,
bombed,
chemical,
chemicals,
chemical warfare,
jihad,
suicide,
suicides,
poison,
poisoned,
poisons,
poisoning,
assassin,
assassins,
assassinated,
assassinating,
assassinates,
target,
targets,
targeted,
targeting,
massacre,
massacred,
massacring,
death,
dying,
dead,
destruct,
disrupt,
chaos,
fatality,
fatalities,
exterminate,
exterminates,
exterminated,
eradicate,
eradicates,
eradicating,
eradicated,
holocaust,
casualty ,
annihilist,
annihilation,
explosive,
explode,
exploding,
exploded,
execute,
executing,
executes,
executed,
slaughter,
slaughtered,
slaughtering,
slaughters,
smuggle,
smuggles,
smuggled,
smuggling,
smoke,
smoking,
fire,
fires,
mug,
mugged,
mugging,
mugs,
hide,
hiding,
hid,
hidden,
hides,
attack,
attacks,
attacked,
attacking,
detonate,
detonated,
detonating,
detonates,
terror,
terrorize,
terrorizing,
terrorized,
defeat,
defeating,
defeated,
defeats,
plot,
plotted,
plotting,
plots,
plan,
planned,
planning,
plans,
coordinate,
coordinated,
coordinating,
coordinates,
strike,
striked,
strikes,
striking, 
punish,
punished,
punishes,
punishing,
hurt,
hurts,
hurting,
abuse,
abuses,
abusing,
abused,
expel,
expels,
expelled,
expelling,
flog,
flogging,
floggs,
flogged, 
train,
trains,
training,
trained,
abuse,
abuses,
abused,
abusing,
injure,
injury,
injures,
injured,
injuring,
wound,
wounding,
wounded,
wounds,
damage,
damages,
damaged,
damaging,
grief,
grieves,
grieving,
grieved, 
pain,
pains,
pained, 
torture,
torturing,
tortures,
tortured,
insult,
insulted,
insulting,
insults,
proclaim,
proclaimed,
proclaims,
proclaiming,
claimed,
claims,
claiming,
claim,
scar,
scarring,
scarred,
scars,
scared,
scares,
scare,
torment,
tormented,
torments,
tormenting,

 